_header,_axes,_buttons,timestamp
"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1741529117, nanosec=737602281), frame_id='joy')","array('f', [-0.0, 0.9510177969932556, -0.0, -0.0, 1.0, 1.0, 0.0, 0.0])","array('i', [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0])",1741529117737755498
"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1741529117, nanosec=740872062), frame_id='joy')","array('f', [-0.0, 1.0, -0.0, -0.0, 1.0, 1.0, 0.0, 0.0])","array('i', [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0])",1741529117741051906
"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1741529118, nanosec=817410851), frame_id='joy')","array('f', [-0.0, 0.8039567470550537, -0.0, -0.0, 1.0, 1.0, 0.0, 0.0])","array('i', [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0])",1741529118817818790
"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1741529118, nanosec=820883598), frame_id='joy')","array('f', [-0.0, 0.656895637512207, -0.0, -0.0, 1.0, 1.0, 0.0, 0.0])","array('i', [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0])",1741529118821175842
"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1741529118, nanosec=825466613), frame_id='joy')","array('f', [-0.0, 0.4314020276069641, -0.0, -0.0, 1.0, 1.0, 0.0, 0.0])","array('i', [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0])",1741529118825857491
"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1741529118, nanosec=833392018), frame_id='joy')","array('f', [-0.0, -0.0, -0.0, -0.0, 1.0, 1.0, 0.0, 0.0])","array('i', [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0])",1741529118833758522
"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1741529119, nanosec=380884309), frame_id='joy')","array('f', [-0.0, 0.019631031900644302, -0.0, -0.0, 1.0, 1.0, 0.0, 0.0])","array('i', [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0])",1741529119381306618
"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1741529119, nanosec=385488101), frame_id='joy')","array('f', [-0.0, 0.19610431790351868, -0.0, -0.0, 1.0, 1.0, 0.0, 0.0])","array('i', [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0])",1741529119385814037
"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1741529119, nanosec=393528104), frame_id='joy')","array('f', [-0.0, 0.3235572278499603, -0.0, -0.0, 1.0, 1.0, 0.0, 0.0])","array('i', [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0])",1741529119393832366
"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1741529119, nanosec=397018022), frame_id='joy')","array('f', [-0.0, 0.5294427275657654, -0.0, -0.0, 1.0, 1.0, 0.0, 0.0])","array('i', [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0])",1741529119397328542
"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1741529119, nanosec=400629846), frame_id='joy')","array('f', [-0.0, 0.7059159874916077, -0.0, -0.0, 1.0, 1.0, 0.0, 0.0])","array('i', [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0])",1741529119400992368
"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1741529119, nanosec=405453176), frame_id='joy')","array('f', [-0.0, 0.9216055870056152, -0.0, -0.0, 1.0, 1.0, 0.0, 0.0])","array('i', [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0])",1741529119405811285
"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1741529119, nanosec=413536041), frame_id='joy')","array('f', [-0.0, 1.0, -0.0, -0.0, 1.0, 1.0, 0.0, 0.0])","array('i', [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0])",1741529119413900478
"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1741529120, nanosec=576858466), frame_id='joy')","array('f', [-0.0, 0.980430006980896, -0.0, -0.0, 1.0, 1.0, 0.0, 0.0])","array('i', [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0])",1741529120577073193
"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1741529120, nanosec=581230610), frame_id='joy')","array('f', [-0.0, 0.8431730270385742, -0.0, -0.0, 1.0, 1.0, 0.0, 0.0])","array('i', [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0])",1741529120581428774
"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1741529120, nanosec=584536751), frame_id='joy')","array('f', [-0.0, 0.735328197479248, -0.0, -0.0, 1.0, 1.0, 0.0, 0.0])","array('i', [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0])",1741529120584669625
"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1741529120, nanosec=593172369), frame_id='joy')","array('f', [-0.0, 0.6470915675163269, -0.0, -0.0, 1.0, 1.0, 0.0, 0.0])","array('i', [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0])",1741529120593397027
"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1741529120, nanosec=596494626), frame_id='joy')","array('f', [-0.0, 0.5392467975616455, -0.0, -0.0, 1.0, 1.0, 0.0, 0.0])","array('i', [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0])",1741529120596644596
"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1741529120, nanosec=600777957), frame_id='joy')","array('f', [-0.0, 0.3529694378376007, -0.0, -0.0, 1.0, 1.0, 0.0, 0.0])","array('i', [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0])",1741529120600941226
"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1741529120, nanosec=605138952), frame_id='joy')","array('f', [-0.0, 0.21571245789527893, -0.0, -0.0, 1.0, 1.0, 0.0, 0.0])","array('i', [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0])",1741529120605321183
"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1741529120, nanosec=612844735), frame_id='joy')","array('f', [-0.0, 0.019631031900644302, -0.0, -0.0, 1.0, 1.0, 0.0, 0.0])","array('i', [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0])",1741529120613059834
"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1741529120, nanosec=617244519), frame_id='joy')","array('f', [-0.0, -0.0, -0.0, -0.0, 1.0, 1.0, 0.0, 0.0])","array('i', [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0])",1741529120617440065
"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1741529121, nanosec=53340593), frame_id='joy')","array('f', [-0.0, 0.06865138560533524, -0.0, -0.0, 1.0, 1.0, 0.0, 0.0])","array('i', [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0])",1741529121053698500
"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1741529121, nanosec=56880419), frame_id='joy')","array('f', [-0.0, 0.21571245789527893, -0.0, -0.0, 1.0, 1.0, 0.0, 0.0])","array('i', [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0])",1741529121057253721
